frame_number,row,text
10260,2,no matches
10290,0,no matches
10290,1,no matches
10290,2,no matches
10320,0,no matches
10320,1,no matches
10320,2,no matches
10350,0,1 shotzzy.png killed 2 hydra.png
10350,1,no matches
10350,2,no matches
10380,0,1 shotzzy.png killed 2 hydra.png
10380,1,2 envoy.png killed 1 kenny.png
10380,2,no matches
10410,0,1 shotzzy.png killed 2 hydra.png
10410,1,2 envoy.png killed 1 kenny.png
10410,2,no matches
10440,0,no matches
10440,1,2 envoy.png killed 1 kenny.png
10440,2,no matches
10470,0,1 shotzzy.png killed 2 hydra.png
10470,1,2 envoy.png killed 1 kenny.png
10470,2,no matches
10500,0,no matches
10500,1,no matches
10500,2,no matches
10530,0,2 envoy.png killed 1 shotzzy.png
10530,1,1 shotzzy.png killed 2 hydra.png
10530,2,no matches
10560,0,no matches
10560,1,no matches
10560,2,no matches
10590,0,no matches
10590,1,1 shotzzy.png killed 2 hydra.png
10590,2,no matches
10620,0,2 envoy.png killed 1 shotzzy.png
10620,1,no matches
10620,2,no matches
10650,0,no matches
10650,1,no matches
10650,2,no matches
10680,0,2 envoy.png killed 1 shotzzy.png
10680,1,no matches
10680,2,no matches
10710,0,2 envoy.png killed 1 shotzzy.png
10710,1,no matches
10710,2,no matches
10740,0,2 envoy.png killed 1 shotzzy.png
10740,1,no matches
10740,2,no matches
10770,0,2 envoy.png killed 1 shotzzy.png
10770,1,no matches
10770,2,no matches
10800,0,2 envoy.png killed 1 shotzzy.png
10800,1,no matches
10800,2,no matches
10830,0,1 kenny.png killed 2 hydra.png
10830,1,no matches
10830,2,no matches
10860,0,no matches
10860,1,no matches
10860,2,no matches
10890,0,1 kenny.png killed 2 hydra.png
10890,1,no matches
10890,2,no matches
10920,0,1 kenny.png killed 2 hydra.png
10920,1,no matches
10920,2,no matches
10950,0,1 kenny.png killed 2 hydra.png
10950,1,no matches
10950,2,no matches
10980,0,1 kenny.png killed 2 hydra.png
10980,1,no matches
10980,2,no matches
11010,0,1 kenny.png killed 2 hydra.png
11010,1,no matches
11010,2,no matches
11040,0,1 kenny.png killed 2 hydra.png
11040,1,no matches
11040,2,no matches
11070,0,2 scrap.png killed 1 kenny.png
11070,1,1 kenny.png killed 2 hydra.png
11070,2,no matches
11100,0,2 scrap.png killed 1 kenny.png
11100,1,1 kenny.png killed 2 hydra.png
11100,2,no matches
11130,0,no matches
11130,1,no matches
11130,2,no matches
11160,0,no matches
11160,1,no matches
11160,2,no matches
11190,0,1 dashy.png killed 2 ghosty.png
11190,1,1 shotzzy.png killed 2 scrap.png
11190,2,no matches
11220,0,1 dashy.png killed 2 ghosty.png
